100,8
mid1,hw1,mid2,hw2,mid3,hw3,final,lab
94.98,94.38,63.49,62.53,40.63,22.62,41.31,87.78
87.14,75.94,32.68,32.76,54.55,81.76,71.27,92.14
54.36,56.08,64.01,66.00,41.36,59.10,40.38,83.50
75.95,68.90,31.11,32.35,0.00,0.00,60.96,91.86
29.16,30.09,53.35,56.11,72.95,43.28,63.14,86.46
66.76,70.60,81.77,81.35,22.70,2.78,44.09,91.38
62.64,67.87,62.71,62.60,88.79,87.96,57.24,89.55
52.42,55.76,59.96,55.37,29.42,30.45,85.98,91.73
45.78,43.69,81.90,83.42,37.85,19.71,56.15,89.20
92.85,92.89,48.43,48.46,66.31,89.43,63.07,91.45
53.98,42.84,35.92,40.03,81.61,63.37,65.27,90.60
62.52,77.15,52.85,47.00,16.74,3.67,59.15,85.26
53.32,45.48,53.69,50.73,63.81,81.71,53.92,88.68
100.00,100.00,89.08,85.87,34.95,29.27,63.72,91.60
32.31,43.27,35.01,34.42,68.56,56.67,67.13,89.15
62.02,59.45,81.61,78.76,56.87,64.29,58.51,92.71
21.82,21.98,80.09,80.86,49.06,33.05,41.85,86.74
65.15,73.98,84.54,87.15,94.30,100.00,54.80,88.34
77.90,84.85,52.75,57.60,90.67,69.78,70.49,88.56
63.65,62.19,55.49,58.31,54.18,60.62,40.78,91.15
77.50,75.89,73.45,75.46,45.98,17.74,29.66,84.58
57.53,70.05,53.22,58.29,77.42,87.69,37.64,88.68
66.78,62.84,52.87,51.15,69.46,43.16,35.49,93.45
85.31,90.51,41.03,40.10,54.27,68.86,58.95,89.78
78.71,84.12,28.95,28.38,59.74,50.89,47.68,85.90
65.41,57.89,89.18,91.97,50.92,42.57,60.59,90.53
40.00,45.40,66.61,68.04,53.88,44.46,85.54,89.96
43.20,46.66,48.20,45.20,69.07,70.25,74.75,86.82
68.00,66.71,40.20,38.49,26.45,23.59,41.67,91.18
75.94,77.48,54.99,55.44,4.15,0.00,82.01,93.19
61.13,57.73,42.43,42.93,62.91,67.40,59.82,89.19
84.82,88.50,53.84,49.83,64.04,85.67,40.43,87.38
74.96,79.46,61.67,66.39,23.43,26.25,40.03,93.85
52.48,50.80,72.26,75.02,30.91,20.92,51.56,90.94
86.69,88.82,58.86,65.11,35.99,46.30,60.31,89.56
56.47,53.30,70.99,72.01,46.22,20.41,50.48,88.68
58.08,63.49,53.49,48.26,30.80,47.48,29.81,93.84
50.24,57.17,54.21,56.58,86.87,74.79,69.08,90.25
66.20,84.36,57.54,57.41,64.26,66.55,50.24,89.84
84.48,78.91,45.63,46.98,35.05,42.65,68.64,90.02
50.30,45.86,74.73,75.61,57.57,75.00,24.08,89.84
60.01,46.19,26.75,29.54,7.76,21.95,10.96,95.33
92.82,100.00,50.31,50.93,28.09,40.92,62.59,85.99
48.03,52.94,29.99,30.01,37.36,43.16,12.15,92.24
69.77,67.42,43.16,39.81,22.49,28.01,26.63,86.51
92.88,89.62,85.35,83.21,14.51,16.42,40.12,86.79
50.25,50.23,78.90,73.29,31.44,22.74,45.79,90.51
52.11,38.60,35.49,37.62,7.77,23.31,0.00,93.05
39.77,50.50,63.92,64.08,67.26,65.41,32.18,93.26
84.06,90.77,49.53,43.26,49.04,59.79,64.54,91.83
45.66,41.63,25.43,23.74,85.51,100.00,73.99,93.58
33.06,34.85,35.02,36.15,40.16,46.98,60.83,90.24
78.45,80.72,49.21,48.12,61.54,56.46,50.99,94.51
67.84,67.63,45.93,49.85,67.87,79.43,46.30,99.79
79.38,78.64,74.36,69.23,10.45,16.07,48.03,90.49
82.13,90.62,36.85,39.52,33.68,11.19,56.89,86.46
51.47,55.86,57.71,52.67,100.00,96.63,41.43,92.63
20.35,9.70,36.26,37.45,71.97,68.95,34.58,90.01
85.78,86.13,43.50,45.62,100.00,100.00,46.40,89.17
62.76,65.48,63.37,59.18,59.57,81.12,28.46,87.24
72.00,79.89,50.12,50.52,50.80,60.88,22.96,85.81
37.99,34.16,53.79,53.07,14.29,11.06,57.31,88.91
59.87,58.95,51.28,58.92,100.00,100.00,28.35,88.92
68.37,60.91,78.25,73.91,10.00,0.00,50.73,88.86
59.86,61.05,69.33,69.78,89.31,75.77,27.52,88.67
91.59,91.19,45.02,42.92,0.00,0.00,45.62,89.95
72.36,81.37,48.96,48.04,41.19,28.37,30.55,88.68
